VehicleID,LocationID,LicensePlate,Make,Model,Year,Category,Color,Mileage,FuelType,TransmissionType,Status,DailyRate,PurchasePrice,PurchaseDate,LastMaintenanceDate,NextMaintenanceDate,VIN,InsuranceExpiry,CreatedDate,ModifiedDate
1,1,EL12345,Volkswagen,Polo,2024,Economy,White,8500,Petrol,Manual,Available,299.00,185000.00,2024-03-15,2024-11-20,2025-05-20,WVW1234567890123,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
2,1,EL12346,Volkswagen,Polo,2024,Economy,Silver,12300,Petrol,Manual,Available,299.00,185000.00,2024-03-15,2024-10-15,2025-04-15,WVW1234567890124,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
3,2,EL12347,Skoda,Fabia,2023,Economy,Red,18750,Petrol,Manual,Rented,289.00,175000.00,2023-08-10,2024-09-12,2025-03-12,TMB1234567890125,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
4,3,EL12348,Nissan,Micra,2024,Economy,Blue,6890,Petrol,Automatic,Available,319.00,195000.00,2024-05-20,2024-12-01,2025-06-01,SJN1234567890126,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
5,5,EL12349,Hyundai,i20,2023,Economy,Black,22450,Petrol,Manual,Available,299.00,180000.00,2023-06-12,2024-08-30,2025-02-28,KMH1234567890127,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
6,6,CO12350,Volkswagen,Golf,2024,Compact,White,11780,Petrol,Automatic,Available,399.00,285000.00,2024-04-18,2024-11-25,2025-05-25,WVW1234567890128,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
7,7,CO12351,BMW,1 Series,2024,Compact,Black,9250,Petrol,Automatic,Rented,459.00,325000.00,2024-06-22,2024-12-10,2025-06-10,WBA1234567890129,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
8,4,CO12352,Audi,A3,2023,Compact,Silver,16340,Petrol,Automatic,Available,449.00,315000.00,2023-09-14,2024-10-20,2025-04-20,WAU1234567890130,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
9,8,CO12353,Mercedes-Benz,A-Class,2024,Compact,Blue,7890,Petrol,Automatic,Available,479.00,335000.00,2024-07-08,2024-12-15,2025-06-15,WDD1234567890131,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
10,11,CO12354,Volvo,V40,2023,Compact,Red,19670,Petrol,Automatic,Maintenance,429.00,295000.00,2023-11-30,2024-09-05,2025-03-05,YV11234567890132,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
11,6,MS12355,BMW,3 Series,2024,Mid-size,Black,13920,Petrol,Automatic,Available,599.00,485000.00,2024-02-28,2024-11-30,2025-05-30,WBA1234567890133,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
12,7,MS12356,Audi,A4,2024,Mid-size,White,10450,Diesel,Automatic,Available,619.00,495000.00,2024-04-12,2024-12-05,2025-06-05,WAU1234567890134,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
13,9,MS12357,Mercedes-Benz,C-Class,2023,Mid-size,Silver,17780,Petrol,Automatic,Rented,649.00,515000.00,2023-10-15,2024-09-18,2025-03-18,WDD1234567890135,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
14,10,MS12358,Volvo,S60,2024,Mid-size,Blue,9230,Hybrid,Automatic,Available,679.00,545000.00,2024-05-25,2024-12-20,2025-06-20,YV11234567890136,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
15,11,MS12359,Lexus,IS,2023,Mid-size,Black,21890,Hybrid,Automatic,Available,699.00,565000.00,2023-08-20,2024-08-25,2025-02-25,JTH1234567890137,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
16,1,FS12360,BMW,5 Series,2024,Full-size,Black,14560,Diesel,Automatic,Available,899.00,685000.00,2024-03-10,2024-12-01,2025-06-01,WBA1234567890138,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
17,2,FS12361,Audi,A6,2024,Full-size,White,12890,Diesel,Automatic,Rented,919.00,695000.00,2024-04-22,2024-12-10,2025-06-10,WAU1234567890139,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
18,13,FS12362,Mercedes-Benz,E-Class,2023,Full-size,Silver,19560,Petrol,Automatic,Available,949.00,715000.00,2023-11-08,2024-09-30,2025-03-30,WDD1234567890140,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
19,12,FS12363,Volvo,S90,2024,Full-size,Blue,11780,Hybrid,Automatic,Available,979.00,745000.00,2024-06-15,2024-12-25,2025-06-25,YV11234567890141,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
20,14,FS12364,Jaguar,XF,2023,Full-size,Black,23340,Petrol,Automatic,Maintenance,1099.00,825000.00,2023-07-30,2024-08-15,2025-02-15,SAJ1234567890142,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
21,1,LX12365,BMW,7 Series,2024,Luxury,Black,6450,Petrol,Automatic,Available,1499.00,1285000.00,2024-01-15,2024-12-01,2025-06-01,WBA1234567890143,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
22,2,LX12366,Mercedes-Benz,S-Class,2024,Luxury,White,5890,Hybrid,Automatic,Available,1599.00,1385000.00,2024-02-20,2024-12-05,2025-06-05,WDD1234567890144,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
23,3,LX12367,Audi,A8,2023,Luxury,Silver,14760,Petrol,Automatic,Rented,1549.00,1335000.00,2023-12-10,2024-10-10,2025-04-10,WAU1234567890145,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
